Gene,Gene_ID,GO_Descriptions,GO_Categories,In_WCM,WCM_essentiality,Rousset_experimental_essentiality,Lineage_1,Lineage_1_not_WCM,Lineage_1_modeled_in_WCM,Lineage_2,Lineage_2_not_WCM,Lineage_2_modeled_in_WCM,Lineage_3,Lineage_3_not_WCM,Lineage_3_modeled_in_WCM,Lineage_4,Lineage_4_not_WCM,Lineage_4_modeled_in_WCM,Lineage_5,Lineage_5_not_WCM,Lineage_5_modeled_in_WCM,Lineage_6,Lineage_6_not_WCM,Lineage_6_modeled_in_WCM,Lineage_7,Lineage_7_not_WCM,Lineage_7_modeled_in_WCM,Lineage_8,Lineage_8_not_WCM,Lineage_8_modeled_in_WCM,Lineage_9,Lineage_9_not_WCM,Lineage_9_modeled_in_WCM,Lineage_10,Lineage_10_not_WCM,Lineage_10_modeled_in_WCM,Lineage_11,Lineage_11_not_WCM,Lineage_11_modeled_in_WCM,Lineage_12,Lineage_12_not_WCM,Lineage_12_modeled_in_WCM,Lineage_13,Lineage_13_not_WCM,Lineage_13_modeled_in_WCM,Lineage_14,Lineage_14_not_WCM,Lineage_14_modeled_in_WCM,Lineage_15,Lineage_15_not_WCM,Lineage_15_modeled_in_WCM,Lineage_16,Lineage_16_not_WCM,Lineage_16_modeled_in_WCM,Lineage_17,Lineage_17_not_WCM,Lineage_17_modeled_in_WCM,Lineage_18,Lineage_18_not_WCM,Lineage_18_modeled_in_WCM,Lineage_19,Lineage_19_not_WCM,Lineage_19_modeled_in_WCM,Lineage_20,Lineage_20_not_WCM,Lineage_20_modeled_in_WCM,Lineage_22,Lineage_22_not_WCM,Lineage_22_modeled_in_WCM,Lineage_23,Lineage_23_not_WCM,Lineage_23_modeled_in_WCM,Lineage_24,Lineage_24_not_WCM,Lineage_24_modeled_in_WCM,Lineage_25,Lineage_25_not_WCM,Lineage_25_modeled_in_WCM,Lineage_26,Lineage_26_not_WCM,Lineage_26_modeled_in_WCM,Lineage_27,Lineage_27_not_WCM,Lineage_27_modeled_in_WCM,Lineage_28,Lineage_28_not_WCM,Lineage_28_modeled_in_WCM,Lineage_29,Lineage_29_not_WCM,Lineage_29_modeled_in_WCM,Lineage_30,Lineage_30_not_WCM,Lineage_30_modeled_in_WCM,Lineage_31,Lineage_31_not_WCM,Lineage_31_modeled_in_WCM,Lineage_32,Lineage_32_not_WCM,Lineage_32_modeled_in_WCM,Lineage_33,Lineage_33_not_WCM,Lineage_33_modeled_in_WCM,Lineage_34,Lineage_34_not_WCM,Lineage_34_modeled_in_WCM,Lineage_35,Lineage_35_not_WCM,Lineage_35_modeled_in_WCM,Lineage_36,Lineage_36_not_WCM,Lineage_36_modeled_in_WCM,Lineage_37,Lineage_37_not_WCM,Lineage_37_modeled_in_WCM,Lineage_38,Lineage_38_not_WCM,Lineage_38_modeled_in_WCM,Lineage_39,Lineage_39_not_WCM,Lineage_39_modeled_in_WCM,Lineage_40,Lineage_40_not_WCM,Lineage_40_modeled_in_WCM,Lineage_41,Lineage_41_not_WCM,Lineage_41_modeled_in_WCM,Lineage_42,Lineage_42_not_WCM,Lineage_42_modeled_in_WCM,Lineage_44,Lineage_44_not_WCM,Lineage_44_modeled_in_WCM,Lineage_45,Lineage_45_not_WCM,Lineage_45_modeled_in_WCM,Lineage_46,Lineage_46_not_WCM,Lineage_46_modeled_in_WCM,Lineage_47,Lineage_47_not_WCM,Lineage_47_modeled_in_WCM,Lineage_48,Lineage_48_not_WCM,Lineage_48_modeled_in_WCM,Lineage_51,Lineage_51_not_WCM,Lineage_51_modeled_in_WCM,Lineage_1_not_WCM_but_Rousset_essential,Lineage_2_not_WCM_but_Rousset_essential,Lineage_3_not_WCM_but_Rousset_essential,Lineage_4_not_WCM_but_Rousset_essential,Lineage_5_not_WCM_but_Rousset_essential,Lineage_6_not_WCM_but_Rousset_essential,Lineage_7_not_WCM_but_Rousset_essential,Lineage_8_not_WCM_but_Rousset_essential,Lineage_9_not_WCM_but_Rousset_essential,Lineage_10_not_WCM_but_Rousset_essential,Lineage_11_not_WCM_but_Rousset_essential,Lineage_12_not_WCM_but_Rousset_essential,Lineage_13_not_WCM_but_Rousset_essential,Lineage_14_not_WCM_but_Rousset_essential,Lineage_15_not_WCM_but_Rousset_essential,Lineage_16_not_WCM_but_Rousset_essential,Lineage_17_not_WCM_but_Rousset_essential,Lineage_18_not_WCM_but_Rousset_essential,Lineage_19_not_WCM_but_Rousset_essential,Lineage_20_not_WCM_but_Rousset_essential,Lineage_22_not_WCM_but_Rousset_essential,Lineage_23_not_WCM_but_Rousset_essential,Lineage_24_not_WCM_but_Rousset_essential,Lineage_25_not_WCM_but_Rousset_essential,Lineage_26_not_WCM_but_Rousset_essential,Lineage_27_not_WCM_but_Rousset_essential,Lineage_28_not_WCM_but_Rousset_essential,Lineage_29_not_WCM_but_Rousset_essential,Lineage_30_not_WCM_but_Rousset_essential,Lineage_31_not_WCM_but_Rousset_essential,Lineage_32_not_WCM_but_Rousset_essential,Lineage_33_not_WCM_but_Rousset_essential,Lineage_34_not_WCM_but_Rousset_essential,Lineage_35_not_WCM_but_Rousset_essential,Lineage_36_not_WCM_but_Rousset_essential,Lineage_37_not_WCM_but_Rousset_essential,Lineage_38_not_WCM_but_Rousset_essential,Lineage_39_not_WCM_but_Rousset_essential,Lineage_40_not_WCM_but_Rousset_essential,Lineage_41_not_WCM_but_Rousset_essential,Lineage_42_not_WCM_but_Rousset_essential,Lineage_44_not_WCM_but_Rousset_essential,Lineage_45_not_WCM_but_Rousset_essential,Lineage_46_not_WCM_but_Rousset_essential,Lineage_47_not_WCM_but_Rousset_essential,Lineage_48_not_WCM_but_Rousset_essential,Lineage_51_not_WCM_but_Rousset_essential
glk,EG12957,ATP binding; D-glucose binding; cytoplasm; cytosol; glucokinase activity; glucose 6-phosphate metabolic process; glycolytic process; kinase activity,biological_process; cellular_component; molecular_function,1.0,0.0,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glmM,EG11553,UDP-N-acetylglucosamine biosynthetic process; carbohydrate metabolic process; cytosol; identical protein binding; isomerase activity; magnesium ion binding; metal ion binding; peptidoglycan biosynthetic process; phosphoglucosamine mutase activity; phosphomannomutase activity,biological_process; cellular_component; molecular_function,1.0,0.0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glmS,EG10382,UDP-N-acetylglucosamine biosynthetic process; UDP-N-acetylglucosamine metabolic process; carbohydrate derivative binding; carbohydrate derivative biosynthetic process; carbohydrate metabolic process; cytoplasm; cytosol; fructose 6-phosphate metabolic process; glutamine-fructose-6-phosphate transaminase (isomerizing) activity; protein N-linked glycosylation; protein binding; transaminase activity,biological_process; cellular_component; molecular_function,1.0,0.0,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glmU,EG11198,"UDP-N-acetylglucosamine biosynthetic process; UDP-N-acetylglucosamine diphosphorylase activity; acyltransferase activity; acyltransferase activity, transferring groups other than amino-acyl groups; cell morphogenesis; cell wall organization; cytoplasm; cytosol; glucosamine-1-phosphate N-acetyltransferase activity; identical protein binding; lipid A biosynthetic process; magnesium ion binding; membrane; metal ion binding; nucleotidyltransferase activity; peptidoglycan biosynthetic process; protein binding; regulation of cell shape",biological_process; cellular_component; molecular_function,1.0,0.0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glnA,EG10383,"ATP binding; ammonia assimilation cycle; cytoplasm; cytosol; glutamine biosynthetic process; glutamine synthetase activity; identical protein binding; ligase activity; ligase activity, forming carbon-nitrogen bonds; membrane; metal ion binding; nitrogen utilization; response to radiation",biological_process; cellular_component; molecular_function,1.0,1.0,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glnB,EG10384,ATP binding; cytosol; enzyme activator activity; enzyme regulator activity; identical protein binding; nucleotide binding; protein binding; regulation of fatty acid biosynthetic process; regulation of nitrogen utilization; small molecule binding,biological_process; cellular_component; molecular_function,0.0,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glnD,EG11411,[protein-PII] uridylyltransferase activity; cytosol; hydrolase activity; nucleotidyltransferase activity; phosphoric diester hydrolase activity; protein binding; regulation of nitrogen utilization,biological_process; cellular_component; molecular_function,1.0,0.0,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glnE,EG11602,ATP binding; [glutamate-ammonia-ligase] adenylyltransferase activity; [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase activity; cytosol; magnesium ion binding; nucleotidyltransferase activity; regulation of glutamine family amino acid metabolic process,biological_process; cellular_component; molecular_function,1.0,0.0,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glnG,EG10385,ATP binding; ATP hydrolysis activity; DNA binding; DNA-binding transcription activator activity; cis-regulatory region sequence-specific DNA binding; cytoplasm; cytosol; nitrogen fixation; phosphorelay response regulator activity; phosphorelay signal transduction system; positive regulation of DNA-templated transcription; protein binding; protein-DNA complex; regulation of DNA-templated transcription; regulation of nitrogen utilization; sequence-specific DNA binding,biological_process; cellular_component; molecular_function,0.0,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glnH,EG10386,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing; L-glutamine import across plasma membrane; amino acid binding; amino acid transport; glutamine binding; glutamine transport; ligand-gated monoatomic ion channel activity; membrane; monoatomic ion transmembrane transport; outer membrane-bounded periplasmic space; periplasmic space",biological_process; cellular_component; molecular_function,1.0,0.0,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glnK,EG12191,ATP binding; cytoplasm; cytosol; enzyme regulator activity; identical protein binding; plasma membrane; positive regulation of nitrogen utilization; protein binding; regulation of nitrogen utilization,biological_process; cellular_component; molecular_function,0.0,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glnL,EG10387,"ATP binding; cytoplasm; hydrolase activity; identical protein binding; kinase activity; nitrogen fixation; phosphoprotein phosphatase activity; phosphorelay sensor kinase activity; phosphorelay signal transduction system; phosphotransferase activity, carboxyl group as acceptor; protein binding; protein histidine kinase activity; protein homodimerization activity; regulation of DNA-templated transcription; signal transduction; signal transduction involved in regulation of gene expression",biological_process; cellular_component; molecular_function,0.0,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
